trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 0.0 5 100 0.1 5 0.99818 11.92200 0.99818 11.91423 0.96512 9.36157 0.86701 5.24275 0.78036 1.70318 0.79399 2.09780 
100 0.0 5 100 0.1 5 0.99916 11.98791 0.95065 10.46644 0.90017 6.66625 0.88498 5.31401 0.88076 2.52674 0.86628 1.63614 
100 0.0 5 100 10.0 5 0.99916 11.99347 0.96686 11.86325 0.70739 5.70588 0.83590 5.38144 0.78805 2.41192 0.80550 2.62086 
100 0.0 5 100 10.0 5 0.99702 11.94784 0.98853 11.92541 0.41912 2.80473 0.74617 3.18789 0.84242 1.92524 0.84981 2.46996 
100 0.0 5 100 10.0 5 0.99916 11.99054 0.97973 11.17032 0.85788 6.05926 0.83340 3.30098 0.76220 2.49934 0.89211 2.68153 
100 0.0 5 100 10.0 5 0.99867 11.93505 0.99263 11.94579 0.85328 6.75974 0.58878 2.93490 0.63931 1.61217 0.85531 2.46352 
100 0.0 5 100 10.0 5 0.99916 11.98975 0.96217 11.75140 0.84697 10.37660 0.54307 2.90374 0.61931 2.49171 0.86199 2.78091 
100 0.0 5 100 10.0 5 0.99867 11.92069 0.99916 11.61871 0.88482 7.08405 0.86700 5.02391 0.84839 2.43493 0.82229 2.19270 
100 0.0 5 100 10.0 5 0.99730 11.93648 0.99623 11.77263 0.99214 10.48335 0.94366 4.78195 0.92738 2.30934 0.91586 1.71912 
100 0.0 5 100 10.0 5 0.98808 11.90309 0.95616 11.20183 0.88045 7.30130 0.87162 3.19621 0.89986 2.47151 0.94554 1.99275 
100 0.0 5 100 10.0 5 0.99916 11.93090 0.96303 11.57440 0.86746 5.89994 0.83886 3.83464 0.90957 2.46514 0.91519 2.12224 
100 0.0 5 100 10.0 5 0.99916 11.99951 0.95695 11.82393 0.70010 7.29721 0.78761 4.07515 0.79499 1.49496 0.88764 2.11271 
100 0.0 5 100 100.0 5 0.98896 11.86653 0.81771 7.12258 0.85220 6.73414 0.88522 2.34422 0.86803 2.26680 0.91364 2.33667 
100 0.0 5 100 100.0 5 0.99916 11.99902 0.98921 11.61002 0.95664 6.02117 0.93754 2.96937 0.91810 1.72527 0.93627 1.85115 
100 0.0 5 100 100.0 5 0.98646 11.95449 0.38745 8.40781 0.16441 2.41661 0.39404 7.89502 0.11862 3.34200 0.23646 1.79196 
100 0.0 5 100 100.0 5 0.99867 11.99133 0.99604 11.98156 0.88386 3.17089 0.51639 1.53965 0.78696 1.28583 0.88557 1.92811 
100 0.0 5 100 100.0 5 0.99867 11.99561 0.99867 11.78859 0.89865 10.50876 0.91266 6.12110 0.82356 2.37510 0.83444 2.47045 
100 0.0 5 100 100.0 5 0.99916 11.98913 0.97762 11.10524 0.86359 7.07578 0.83765 3.62806 0.79962 2.07616 0.78691 2.06677 
100 0.0 5 100 100.0 5 0.99916 11.99182 0.99916 11.64412 0.84036 4.96547 0.83720 3.87884 0.84391 3.77045 0.84392 2.59015 
100 0.0 5 100 100.0 5 0.99916 11.99591 0.86963 11.46304 0.79315 9.06087 0.63848 4.11784 0.65920 2.75011 0.80920 2.73349 
100 0.0 5 100 100.0 5 0.99916 11.96131 0.96563 11.85820 0.91333 10.43039 0.65804 7.63912 0.66720 3.40801 0.77913 2.69705 
100 0.0 5 100 100.0 5 0.99916 11.99737 0.96551 11.87384 0.79406 7.84925 0.51891 2.03266 0.50831 2.09746 0.77668 2.55148 
100 0.0 5 100 100.0 5 0.99916 11.99902 0.81227 11.46739 0.71838 7.05925 0.81609 5.20383 0.76948 4.48615 0.79626 2.69358 
100 0.0 5 100 100.0 5 0.99916 11.95986 0.99030 11.72000 0.86934 8.66809 0.73232 4.07863 0.78972 3.01238 0.91991 2.55378 
